Printing Preorder Traversal...
color: 5; upperR: 0; upperC: 0; NWkids color: 5; NEkids color: 5; SWkids color: 5; SEkids color: 5
color: 5; upperR: 0; upperC: 0; NWkids color: 0; NEkids color: 5; SWkids color: 5; SEkids color: 5
color: 0; upperR: 0; upperC: 0; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 5; upperR: 0; upperC: 16; NWkids color: 0; NEkids color: 0; SWkids color: 5; SEkids color: 0
color: 0; upperR: 0; upperC: 16; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 0; upperC: 24; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 5; upperR: 8; upperC: 16; NWkids color: 0; NEkids color: 5; SWkids color: 0; SEkids color: 5
color: 0; upperR: 8; upperC: 16; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 5; upperR: 8; upperC: 20; NWkids color: 0; NEkids color: 1; SWkids color: 0; SEkids color: 1
color: 0; upperR: 8; upperC: 20; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 1; upperR: 8; upperC: 22; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 10; upperC: 20; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 1; upperR: 10; upperC: 22; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 12; upperC: 16; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 5; upperR: 12; upperC: 20; NWkids color: 0; NEkids color: 1; SWkids color: 0; SEkids color: 1
color: 0; upperR: 12; upperC: 20; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 1; upperR: 12; upperC: 22; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 14; upperC: 20; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 1; upperR: 14; upperC: 22; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 1; upperR: 8; upperC: 24; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 5; upperR: 16; upperC: 0; NWkids color: 5; NEkids color: 1; SWkids color: 0; SEkids color: 1
color: 5; upperR: 16; upperC: 0; NWkids color: 0; NEkids color: 1; SWkids color: 0; SEkids color: 1
color: 0; upperR: 16; upperC: 0; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 1; upperR: 16; upperC: 4; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 20; upperC: 0; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 1; upperR: 20; upperC: 4; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 1; upperR: 16; upperC: 8; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 24; upperC: 0; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 24; upperC: 8; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 5; upperR: 16; upperC: 16; NWkids color: 5; NEkids color: 0; SWkids color: 0; SEkids color: 0
color: 5; upperR: 16; upperC: 16; NWkids color: 1; NEkids color: 0; SWkids color: 1; SEkids color: 0
color: 1; upperR: 16; upperC: 16; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 16; upperC: 20; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 1; upperR: 20; upperC: 16; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 20; upperC: 20; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 16; upperC: 24; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 24; upperC: 16; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 1; upperR: 24; upperC: 24; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 5; upperR: 0; upperC: 32; NWkids color: 0; NEkids color: 5; SWkids color: 5; SEkids color: 5
color: 0; upperR: 0; upperC: 32; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 5; upperR: 0; upperC: 48; NWkids color: 0; NEkids color: 1; SWkids color: 1; SEkids color: 1
color: 0; upperR: 0; upperC: 48; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 1; upperR: 0; upperC: 56; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 1; upperR: 8; upperC: 48; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 8; upperC: 56; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 5; upperR: 16; upperC: 32; NWkids color: 0; NEkids color: 0; SWkids color: 1; SEkids color: 0
color: 0; upperR: 16; upperC: 32; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 16; upperC: 40; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 1; upperR: 24; upperC: 32; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 24; upperC: 40; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 16; upperC: 48; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 5; upperR: 32; upperC: 0; NWkids color: 0; NEkids color: 5; SWkids color: 0; SEkids color: 5
color: 0; upperR: 32; upperC: 0; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 5; upperR: 32; upperC: 16; NWkids color: 0; NEkids color: 1; SWkids color: 0; SEkids color: 1
color: 0; upperR: 32; upperC: 16; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 1; upperR: 32; upperC: 24; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 40; upperC: 16; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 40; upperC: 24; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 48; upperC: 0; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 48; upperC: 16; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 5; upperR: 32; upperC: 32; NWkids color: 5; NEkids color: 0; SWkids color: 0; SEkids color: 0
color: 5; upperR: 32; upperC: 32; NWkids color: 1; NEkids color: 0; SWkids color: 0; SEkids color: 0
color: 1; upperR: 32; upperC: 32; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 32; upperC: 40; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 40; upperC: 32; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 40; upperC: 40; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 32; upperC: 48; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 48; upperC: 32; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
color: 0; upperR: 48; upperC: 48; NWkids color: NULL; NEkids color: NULL; SWkids color: NULL; SEkids color: NULL
Printing Postorder Traversal...
